ID,First Name,Last Name,Grade,Email,Phone,Date of Birth,Address,History,English,Math,Science,GPA,,
101,brock,lee,10,brock.lee@example.com,1234567890,01/01/2005,1234 Elm St,B+,A-,B+,B-,2.6,
102,barney,stinson,12,barney.stinson@example.com,9876543210,05/15/2004,5678 Oak Ave,A-,A,A+,A,2.71,,
103,biff,harrington,11,biff.harrington@example.com,5551234567,09/25/2005,9101 Pine Rd,B,B-,C+,C,3.1,,
104,daisy,may,10,daisy.may@example.com,5557654321,02/14/2006,1122 Maple Dr,A,A-,B+,A-,3.8,,
105,maverick,flynn,12,maverick.flynn@example.com,5556789012,07/22/2003,3344 Birch Blvd,A+,A+,A,A+,4.0,,
106,scooter,smalls,11,scooter.smalls@example.com,5551112233,08/19/2004,2234 Cedar Ave,C+,B-,C,C,2.2,,
107,rocket,man,10,rocket.man@example.com,5554445566,03/07/2005,5543 Willow St,B,B+,B,C+,3.3,,
108,care,rot,12,penny.whitestone@example.com,5559876543,11/12/2003,3421 Maple Ave,A,A,A,A-,3.9,,
109,flint,stone,10,flint.stone@example.com,5553129876,12/30/2005,2210 Cherry Rd,B-,C+,B-,a-,2.8,,
110,peachy,sunset,11,peachy.sunset@example.com,5552346789,04/21/2004,4500 Redwood Dr,A-,B+,A-,A,3.7,,
111,peachy,pink,11,peachy.pink@example.com,5552346289,08/26/2004,4510 Redwood Ave,A-,B+,A-,A,3.7,,
112,peachy,pink,10,peachy.pink@example.com,5552016289,04/09/2005,4310 Redwood St,A-,B+,A-,A,3.7,,
